K	PR	Item ID	Item
1	0.02866272250832053	1	('1165',)
2	0.023174610599095348	32	('3164',)
3	0.02010757395140715	53	('830',)
4	0.019313477765180852	42	('5295',)
5	0.01769090100699281	39	('1182',)
6	0.014375850973924955	125	('2993',)
7	0.013204054864506855	8	('115',)
8	0.012944661269435397	276	('576',)
9	0.011764589656575458	273	('1697',)
10	0.010822500698692294	30	('1504',)
11	0.010637897936358562	15	('185',)
12	0.008554746555179309	77	('3458',)
13	0.007644575001703439	437	('2842',)
14	0.007561109593182514	16	('2445',)
15	0.007021217026428259	122	('2248',)
16	0.006942370902157234	434	('5802',)
17	0.006848704145074993	3	('670',)
18	0.006791597940137871	34	('2978',)
19	0.006740116335793988	263	('2101',)
20	0.006632412459919757	111	('1828',)
21	0.00662428321549867	22	('2549',)
22	0.0065671692670713246	33	('3610',)
23	0.0062148290608202966	178	('2733',)
24	0.006047004205234806	254	('941',)
25	0.005914216137786101	120	('4572',)
26	0.00581085950614352	121	('4837',)
27	0.005672207704630595	47	('3817',)
28	0.0056517205178058935	441	('3832',)
29	0.005589239001372689	46	('4604',)
30	0.005561408697548568	21	('3272',)
31	0.005415371553662005	94	('2151',)
32	0.005327811191946041	20	('4008',)
33	0.005235730519935809	31	('6512',)
34	0.005224243418083837	203	('7559',)
35	0.004807494732327107	59	('4593',)
36	0.004780984394148134	96	('5493',)
37	0.004697602176836308	43	('6166',)
38	0.004658633396477812	163	('3012',)
39	0.004558614946826772	71	('3456',)
40	0.0044995416600030315	109	('5521',)
41	0.004343040346706729	63	('2815',)
42	0.004341503130283792	189	('1509',)
43	0.004296511518441101	128	('2388',)
44	0.004166708767150264	243	('4326',)
45	0.004140071288663712	179	('298',)
46	0.003997630934065163	26	('8048',)
47	0.003826459717224244	531	('5393',)
48	0.0037930040079866673	79	('3647',)
49	0.0036227669591495366	350	('4042',)
50	0.0035071643572018125	28	('3529',)
51	0.0034711990179729204	354	('7598',)
52	0.003424508160450045	409	('1675',)
53	0.0033969298220603373	86	('3725',)
54	0.003337767691035339	188	('2782',)
55	0.0033166551717872146	174	('1503',)
56	0.0032033224055689046	184	('5233',)
57	0.0030363807144882554	238	('4165',)
58	0.0030073769616903597	181	('8857',)
59	0.0029739379551519452	60	('1781',)
60	0.0029463679700268792	395	('8029',)
61	0.0029123327123215127	577	('4646',)
62	0.002908607069938578	359	('2729',)
63	0.0028955639890743024	48	('3590',)
64	0.0028908377057837538	241	('5522',)
65	0.0028867751296725763	385	('1917',)
66	0.002880028561721178	185	('856',)
