K	PR	Item ID	Item
1	0.0389658544786512	1	('1165',)
2	0.03832169965877195	32	('3164',)
3	0.029118150365511693	39	('1182',)
4	0.02662373809456576	42	('5295',)
5	0.019980815125647988	53	('830',)
6	0.018695733988663102	8	('115',)
7	0.017811074003262407	30	('1504',)
8	0.014854175869717691	125	('2993',)
9	0.013320614311457141	276	('576',)
10	0.012626984196331957	15	('185',)
11	0.011676816113520035	437	('2842',)
12	0.011302080489079018	434	('5802',)
13	0.011026451410110862	273	('1697',)
14	0.010860118441885126	22	('2549',)
15	0.010005960305764292	77	('3458',)
16	0.009493535702429159	31	('6512',)
17	0.00948975282820707	441	('3832',)
18	0.00940654069024182	94	('2151',)
19	0.009286890516644627	21	('3272',)
20	0.009257511989200174	47	('3817',)
21	0.008295408427868294	34	('2978',)
22	0.008198142050841746	263	('2101',)
23	0.008003844156194694	96	('5493',)
24	0.007986775684120512	59	('4593',)
25	0.007700162237611465	122	('2248',)
26	0.007578064074164584	16	('2445',)
27	0.007195991700832716	33	('3610',)
28	0.0070347996271095115	111	('1828',)
29	0.006647767772665928	63	('2815',)
30	0.006580570344763035	121	('4837',)
31	0.006472346411617253	120	('4572',)
32	0.00646080552317355	79	('3647',)
33	0.006158392853512084	46	('4604',)
34	0.006036048178844289	178	('2733',)
35	0.0059506648704381136	43	('6166',)
36	0.005865074831888825	254	('941',)
37	0.005556081951250213	26	('8048',)
38	0.005446924124173043	109	('5521',)
39	0.005285439692349539	28	('3529',)
40	0.005226532408337349	86	('3725',)
41	0.0051507435443774	203	('7559',)
42	0.005117340468781631	243	('4326',)
43	0.005093970285072148	163	('3012',)
44	0.005044666660963823	48	('3590',)
45	0.005041669623090569	3	('670',)
46	0.004868966707810415	20	('4008',)
47	0.004836693186383099	71	('3456',)
48	0.004779208382247916	189	('1509',)
49	0.004469900280888475	10	('2605',)
50	0.0044619114308742545	29	('3867',)
51	0.004332695933121734	354	('7598',)
52	0.004227979249331185	238	('4165',)
53	0.004167464805226485	128	('2388',)
54	0.004099863054561113	450	('4303',)
55	0.004079394239803212	179	('298',)
56	0.003781783853206613	446	('4410',)
57	0.0037702922395929915	531	('5393',)
58	0.0036853777553586204	174	('1503',)
59	0.0036143749316411592	310	('5146',)
60	0.0036031643214119433	89	('3983',)
61	0.0035824936376940746	11	('8805',)
62	0.003509315356936211	233	('5891',)
63	0.003489478998609197	91	('821',)
64	0.0034697437250825634	350	('4042',)
65	0.003368586297810686	349	('4977',)
66	0.0032886516339737373	409	('1675',)
67	0.0032622221340243536	226	('686',)
68	0.003236958542465739	93	('1747',)
69	0.003219241497115103	90	('2688',)
70	0.0031948632381146296	58	('3521',)
