Item	Nrep-Rank	Visit-Rank
('1165',)	2	2
('5015',)	68	127
('670',)	39	36
('3062',)	87	145
('5206',)	111	275
('52',)	111	273
('232',)	105	231
('115',)	6	6
('1903',)	48	64
('2605',)	58	42
('8805',)	51	55
('4592',)	91	124
('5793',)	96	211
('3767',)	87	183
('185',)	9	11
('2445',)	22	24
('5757',)	69	74
('5096',)	104	218
('4337',)	55	84
('4008',)	36	48
('3272',)	18	17
('2549',)	11	13
('3315',)	103	214
('5333',)	103	256
('1021',)	107	266
('8048',)	24	33
('151',)	81	78
('3529',)	41	32
('3867',)	60	41
('1504',)	7	5
('6512',)	13	16
('3164',)	1	1
('3610',)	28	27
('2978',)	20	23
('1952',)	86	135
('4779',)	97	181
('2999',)	89	144
('5821',)	111	241
('1182',)	3	3
('5629',)	98	217
('5828',)	75	107
('5295',)	4	4
('6166',)	33	35
('219',)	99	134
('811',)	91	142
('4604',)	29	34
('3817',)	16	18
('3590',)	31	39
('603',)	74	98
('306',)	108	248
('5196',)	71	71
('4067',)	78	101
('830',)	5	7
('881',)	98	199
('5152',)	94	157
('3107',)	99	190
('5450',)	98	185
('3521',)	63	80
('4593',)	28	20
('1781',)	61	84
('4250',)	81	136
('4561',)	111	274
('2815',)	30	26
('6484',)	110	268
('4403',)	98	170
('3976',)	105	243
('2828',)	62	71
('2346',)	75	132
('3169',)	83	140
('5133',)	98	170
('3456',)	38	54
('3923',)	111	274
('3003',)	111	273
('1981',)	111	272
('4196',)	105	239
('1782',)	105	198
('3458',)	15	22
('5736',)	106	270
('3647',)	42	25
('3415',)	98	226
('90',)	69	123
('1282',)	96	220
('2491',)	91	207
('5476',)	111	272
('167',)	57	77
('3725',)	24	37
('8433',)	111	275
('3342',)	103	258
('3983',)	45	53
('2688',)	60	81
('821',)	43	76
('9231',)	110	268
('1747',)	57	67
('2151',)	19	15
('4173',)	74	72
('5493',)	26	21
('2191',)	110	260
('774',)	108	253
('2219',)	111	274
('1524',)	94	194
('1593',)	93	203
('3662',)	82	143
('4425',)	110	255
('950',)	108	256
('5774',)	105	231
('5554',)	61	91
('3501',)	104	191
('5214',)	111	275
('5521',)	33	49
('4611',)	90	178
('1828',)	31	30
('4640',)	78	100
('8640',)	91	177
('9703',)	52	117
('4564',)	103	236
('4436',)	107	247
('1340',)	107	219
('1357',)	106	264
('2369',)	103	244
('4572',)	34	31
('4837',)	23	40
('2248',)	23	28
('4620',)	78	155
('2918',)	106	212
('2993',)	8	10
('4352',)	68	86
('7581',)	111	274
('2388',)	44	61
('2685',)	90	241
('2201',)	106	242
('5778',)	82	130
('1534',)	100	235
('4832',)	104	257
('2057',)	111	263
('2200',)	74	132
('4761',)	93	174
('402',)	95	187
('5290',)	101	197
('8956',)	97	201
('9826',)	90	150
('6464',)	93	172
('903',)	94	192
('4542',)	106	248
('3092',)	71	80
('4402',)	93	199
('3618',)	96	205
('2157',)	106	189
('730',)	106	258
('5014',)	109	265
('1698',)	103	206
('4320',)	111	273
('4984',)	106	229
('2179',)	111	272
('1878',)	92	178
('4474',)	105	257
('426',)	81	173
('2906',)	111	273
('7762',)	97	222
('4321',)	107	268
('732',)	77	137
('4992',)	63	89
('4295',)	111	220
('3012',)	35	56
('5438',)	86	181
('5490',)	96	198
('5022',)	89	154
('3791',)	106	256
('1179',)	111	272
('5122',)	111	272
('8624',)	111	272
('2331',)	67	85
('1369',)	85	140
('3381',)	98	189
('1503',)	59	57
('4289',)	67	92
('5724',)	103	211
('4899',)	70	95
('2733',)	27	38
('298',)	37	59
('4700',)	88	159
('8857',)	59	75
('4369',)	111	275
('1219',)	80	109
('5233',)	48	88
('856',)	60	79
('8079',)	73	90
('3370',)	96	196
('2782',)	63	87
('1509',)	45	47
('1107',)	106	231
('3241',)	83	110
('4624',)	73	106
('3026',)	110	266
('7596',)	82	99
('268',)	111	273
('743',)	107	267
('9265',)	94	149
('2631',)	69	111
('1323',)	103	226
('2940',)	101	206
('2865',)	75	122
('1658',)	72	125
('7559',)	41	44
('2831',)	92	209
('4500',)	105	240
('5942',)	111	263
('2085',)	107	259
('2307',)	106	254
('4867',)	105	249
('5123',)	108	247
('130',)	95	149
('2992',)	56	104
('5718',)	106	245
('5801',)	111	268
('2266',)	80	165
('1912',)	84	174
('1231',)	105	250
('5889',)	93	152
('4453',)	101	195
('3239',)	111	273
('4017',)	111	269
('1000',)	110	262
('4752',)	89	168
('3126',)	101	240
('4774',)	82	121
('686',)	56	83
('1936',)	106	266
('5145',)	95	194
('4345',)	85	145
('3106',)	89	171
('2771',)	67	108
('3595',)	51	103
('5891',)	54	78
('5270',)	100	200
('915',)	106	244
('3724',)	83	155
('3982',)	108	266
('4165',)	40	64
('2714',)	108	245
('689',)	85	186
('5522',)	65	113
('4070',)	93	193
('4326',)	32	58
('4006',)	80	166
('3592',)	66	107
('1847',)	82	161
('3196',)	105	259
('1669',)	106	263
('166',)	93	204
('1532',)	73	149
('1891',)	104	250
('2779',)	105	250
('1733',)	111	275
('941',)	25	46
('1413',)	105	245
('3589',)	111	275
('5224',)	98	219
('5836',)	103	246
('2241',)	97	217
('3837',)	108	256
('889',)	66	82
('6047',)	91	166
('2101',)	21	29
('484',)	103	244
('5749',)	99	237
('2877',)	107	259
('4702',)	108	258
('2131',)	70	137
('2594',)	101	204
('7830',)	109	259
('2968',)	74	138
('854',)	96	166
('1697',)	12	19
('966',)	97	165
('3871',)	105	212
('576',)	10	12
('3917',)	104	221
('4787',)	111	244
('147',)	111	270
('5127',)	108	260
('5908',)	110	249
('4868',)	108	211
('4926',)	111	260
('2760',)	108	246
('611',)	90	147
('5681',)	105	261
('2789',)	109	270
('1942',)	111	275
('4525',)	111	271
('4574',)	111	275
('900',)	110	270
('1652',)	107	252
('747',)	108	262
('3362',)	109	262
('8025',)	111	273
('120',)	108	255
('5307',)	111	255
('9438',)	111	275
('2058',)	111	273
('6392',)	111	272
('3168',)	111	261
('3408',)	110	270
('1734',)	111	255
('2959',)	111	271
('1611',)	111	272
('879',)	111	274
('5497',)	111	272
('5924',)	111	266
('9468',)	82	93
('5146',)	52	51
('5299',)	111	275
('6471',)	111	275
('861',)	111	274
('5094',)	108	244
('2972',)	111	273
('7597',)	77	71
('2220',)	104	246
('4510',)	102	245
('1274',)	100	248
('4188',)	88	184
('1286',)	100	241
('5753',)	101	241
('639',)	92	168
('2567',)	90	203
('274',)	111	272
('1276',)	101	234
('843',)	99	226
('16',)	111	272
('2598',)	111	274
('190',)	111	275
('7593',)	104	242
('4858',)	81	114
('5369',)	111	268
('1452',)	92	208
('1466',)	107	270
('4588',)	109	250
('5581',)	94	141
('1802',)	110	262
('5513',)	85	159
('4827',)	76	120
('1140',)	101	209
('7974',)	111	275
('3527',)	111	274
('17',)	111	272
('1888',)	111	274
('5213',)	103	238
('401',)	111	274
('6106',)	111	275
('4977',)	64	52
('4042',)	50	63
('5483',)	111	270
('2235',)	106	247
('2775',)	69	73
('7598',)	47	43
('965',)	111	275
('4672',)	111	275
('4340',)	111	275
('3357',)	111	270
('2729',)	70	69
('3952',)	103	219
('9581',)	81	112
('2664',)	77	123
('2067',)	107	253
('4760',)	102	246
('5339',)	107	269
('4258',)	103	245
('501',)	91	187
('3597',)	110	269
('5763',)	110	267
('5756',)	111	274
('5776',)	111	274
('9719',)	102	246
('181',)	59	105
('4865',)	111	275
('5677',)	103	209
('828',)	91	221
('923',)	106	265
('4264',)	105	266
('6142',)	103	242
('5931',)	111	273
('2958',)	104	264
('7602',)	111	275
('2385',)	103	242
('1080',)	77	134
('1917',)	63	95
('4703',)	111	272
('5917',)	103	252
('2205',)	111	274
('3915',)	70	123
('4862',)	111	273
('3719',)	90	167
('2616',)	111	275
('1997',)	98	230
('1732',)	111	273
('8029',)	74	68
('2517',)	111	275
('369',)	101	166
('28',)	111	272
('3913',)	111	274
('2383',)	110	262
('4739',)	104	261
('3422',)	110	269
('3010',)	95	200
('1600',)	72	66
('9279',)	111	275
('1817',)	99	230
('933',)	111	275
('535',)	111	275
('1675',)	61	65
('5401',)	111	275
('2935',)	87	149
('819',)	95	155
('766',)	111	273
('4851',)	98	250
('4247',)	61	97
('3434',)	101	222
('2487',)	109	264
('8092',)	81	129
('4747',)	82	151
('3144',)	76	128
('5477',)	91	200
('1990',)	111	275
('1985',)	78	142
('4059',)	105	257
('333',)	102	234
('4625',)	103	240
('1633',)	108	263
('4199',)	109	258
('5171',)	99	221
('5263',)	86	119
('5643',)	106	227
('4488',)	111	242
('2213',)	111	247
('5802',)	16	9
('311',)	87	116
('4489',)	91	115
('2842',)	14	8
('2503',)	99	162
('43',)	108	264
('273',)	65	70
('3832',)	17	14
('5494',)	109	228
('5605',)	107	260
('6418',)	102	239
('372',)	111	258
('4410',)	46	50
('5851',)	111	275
('1640',)	106	265
('1470',)	109	270
('4303',)	53	45
('9692',)	107	264
('1139',)	76	107
('1483',)	84	118
('722',)	88	148
('6053',)	111	269
('3974',)	89	113
('6469',)	111	275
('3432',)	97	199
('6133',)	106	227
('9623',)	111	273
('2375',)	107	259
('4823',)	109	245
('818',)	104	181
('4458',)	101	220
('837',)	96	213
('4218',)	111	274
('4806',)	111	272
('1872',)	84	100
('2204',)	93	201
('593',)	69	60
('8140',)	111	272
('7582',)	110	269
('3110',)	105	199
('8517',)	111	272
('5040',)	107	264
('1263',)	111	274
('4452',)	103	210
('4011',)	109	271
('1965',)	103	232
('5172',)	107	260
('7606',)	86	130
('4404',)	104	217
('4438',)	99	187
('5708',)	99	219
('6196',)	109	237
('2302',)	106	230
('5137',)	100	208
('3099',)	88	139
('703',)	111	273
('134',)	111	261
('5586',)	111	275
('3444',)	111	274
('944',)	99	161
('3035',)	107	222
('5134',)	106	248
('4717',)	106	226
('808',)	107	226
('4074',)	110	270
('4019',)	107	247
('5723',)	111	259
('4389',)	110	259
('2121',)	108	233
('1159',)	104	222
('2994',)	90	164
('394',)	102	205
('4486',)	111	259
('5345',)	104	224
('2539',)	96	160
('3886',)	111	258
('8914',)	89	133
('6323',)	110	256
('1314',)	105	245
('4528',)	111	275
('2088',)	103	217
('4231',)	98	199
('1597',)	98	179
('207',)	83	131
('8839',)	104	212
('4480',)	111	275
('4671',)	109	262
('2870',)	111	275
('1375',)	111	272
('3355',)	111	274
('1708',)	102	225
('2756',)	83	172
('3365',)	107	269
('1821',)	111	275
('4638',)	106	268
('5857',)	111	273
('5760',)	81	119
('5393',)	49	62
('7',)	111	275
('2249',)	82	169
('1602',)	106	271
('4032',)	105	257
('4714',)	101	215
('42',)	91	163
('681',)	95	207
('6424',)	100	209
('4529',)	102	247
('4244',)	105	247
('205',)	95	221
('3124',)	111	275
('2762',)	111	274
('943',)	91	158
('1988',)	95	182
('2823',)	69	102
('5899',)	86	146
('3125',)	104	243
('5363',)	70	117
('5160',)	109	245
('1157',)	107	267
('1661',)	111	256
('5784',)	98	210
('1957',)	111	275
