K	PR	Item ID	Item
1	0.021196408477995157	1	('1165',)
2	0.020748895843748703	42	('5295',)
3	0.019642190908670896	32	('3164',)
4	0.017760942175920915	53	('830',)
5	0.014975187638922185	39	('1182',)
6	0.011991657097730425	125	('2993',)
7	0.010702838470269744	276	('576',)
8	0.010484777062829097	273	('1697',)
9	0.0102145627368599	3	('670',)
10	0.00969555746052012	8	('115',)
11	0.009693495574536868	15	('185',)
12	0.00887397782644369	16	('2445',)
13	0.00821725960608812	30	('1504',)
14	0.0070936907700442095	77	('3458',)
15	0.006002529255039245	178	('2733',)
16	0.005862513465571292	254	('941',)
17	0.005750725946923428	34	('2978',)
18	0.0056828141047457845	437	('2842',)
19	0.00567536448109196	263	('2101',)
20	0.005662292923785089	121	('4837',)
21	0.005381470005734682	22	('2549',)
22	0.005036978994190072	33	('3610',)
23	0.004724165677456324	122	('2248',)
24	0.00468340986943694	203	('7559',)
25	0.00466481784137318	128	('2388',)
26	0.004643340756202308	434	('5802',)
27	0.004570551798502538	111	('1828',)
28	0.004428331186102213	63	('2815',)
29	0.004373019489916495	163	('3012',)
30	0.0043616635953207025	47	('3817',)
31	0.004316918155346534	20	('4008',)
32	0.00423703113790173	46	('4604',)
33	0.004122870172746501	441	('3832',)
34	0.004036501394627809	188	('2782',)
35	0.004031371608449937	31	('6512',)
36	0.004028287368379755	179	('298',)
37	0.003997482674808571	86	('3725',)
38	0.003917507977053709	71	('3456',)
39	0.0036216120205448997	415	('4247',)
40	0.0035346702273700934	120	('4572',)
41	0.0034957899799604266	109	('5521',)
42	0.003412316402534718	184	('5233',)
43	0.003334827259421423	243	('4326',)
44	0.003332040358319789	385	('1917',)
45	0.0033157297866257597	94	('2151',)
46	0.003307322698078448	28	('3529',)
47	0.0032448421469917516	350	('4042',)
48	0.003178016775960913	198	('2631',)
49	0.0030976197345492814	93	('1747',)
50	0.003061176994495466	493	('944',)
51	0.003031720379474855	21	('3272',)
52	0.0030289208364336112	126	('4352',)
53	0.0029949448762434223	531	('5393',)
54	0.0029477764140441428	43	('6166',)
55	0.0029379691575266644	59	('4593',)
56	0.002913068636996583	26	('8048',)
57	0.002874090678111538	177	('4899',)
58	0.002859069632573883	389	('3915',)
59	0.002842948389910936	192	('4624',)
60	0.0028401100011830696	9	('1903',)
61	0.0028053706280252357	114	('9703',)
62	0.0028012827014552402	354	('7598',)
63	0.002781084889983573	29	('3867',)
64	0.0027606370012564652	91	('821',)
65	0.0027182562838419843	409	('1675',)
66	0.0027101599696078595	226	('686',)
67	0.002682460178388749	238	('4165',)
68	0.0026658957259904185	96	('5493',)
69	0.0026417898386081884	123	('4620',)
70	0.002632506234488176	212	('2992',)
71	0.0026287690283672755	404	('1600',)
72	0.0025978322686980022	241	('5522',)
73	0.0025659931588695507	310	('5146',)
74	0.0025616649732098313	189	('1509',)
75	0.0025293399499873442	161	('4992',)
76	0.0024966166455655317	185	('856',)
77	0.0024960192053091793	359	('2729',)
78	0.0024535248410885824	537	('42',)
79	0.002428039867239983	550	('5363',)
80	0.002417956113308269	446	('4410',)
81	0.0024139997143134166	481	('7606',)
82	0.0023966963055693457	547	('2823',)
83	0.0023838337115585865	58	('3521',)
84	0.0023809328004382696	577	('4646',)
85	0.002374411427022764	340	('4827',)
86	0.002361921056259243	530	('5760',)
87	0.0023541733467536707	600	('490',)
88	0.0023340113580614477	67	('2828',)
89	0.002326411105683272	510	('8914',)
90	0.0023124567362840837	598	('3775',)
91	0.002293102801430101	440	('273',)
92	0.0022744746765360102	271	('2968',)
93	0.002268985464431551	95	('4173',)
94	0.0022654594822995038	373	('181',)
95	0.0022623430252991473	594	('5808',)
96	0.0022494218347332198	48	('3590',)
97	0.0022285436032115653	191	('3241',)
98	0.0022143828940759504	60	('1781',)
99	0.002207644144447376	395	('8029',)
100	0.0022035542783070687	225	('4774',)
101	0.00219267493990163	450	('4303',)
102	0.002192341760348741	171	('2331',)
103	0.0021915995128708858	181	('8857',)
104	0.0021873301445162236	160	('732',)
105	0.002169491207202115	418	('8092',)
106	0.0021456263931865223	202	('1658',)
107	0.002140701421951641	285	('611',)
108	0.002133804001624287	808	('3649',)
109	0.002112728618654384	233	('5891',)
110	0.002103955140915342	102	('3662',)
111	0.002089665486745549	562	('1831',)
112	0.0020638797639883537	51	('5196',)
113	0.0020578951104962056	55	('5152',)
114	0.002051613835137355	316	('7597',)
115	0.0020480453483976064	11	('8805',)
116	0.0020479571782179686	362	('2664',)
117	0.002046427677314437	174	('1503',)
118	0.0020415676879700405	79	('3647',)
119	0.0020364388271383715	384	('1080',)
120	0.0020063248797714756	561	('143',)
121	0.001994998261103326	353	('2775',)
122	0.0019861753095696284	324	('2567',)
123	0.001983278114207026	175	('4289',)
124	0.001974447878516142	268	('2131',)
125	0.0019543705478248133	232	('3595',)
126	0.0019463274116090798	229	('4345',)
127	0.0019265617319290012	144	('3092',)
128	0.0019215155001665882	452	('1139',)
129	0.0019177485755266816	349	('4977',)
130	0.0019042998844567033	89	('3983',)
131	0.0019008548232582639	654	('3077',)
132	0.001884514591113683	576	('253',)
133	0.0018224652270757498	245	('3592',)
134	0.0018144012853194534	556	('5135',)
135	0.0017982714030559718	411	('2935',)
136	0.001797416354203693	323	('639',)
137	0.0017971475069771133	52	('4067',)
138	0.0017926061837346774	158	('7762',)
139	0.0017895297701576976	90	('2688',)
140	0.0017881583066897905	106	('5554',)
141	0.001759041058482384	423	('1985',)
142	0.0017360398566708029	201	('2865',)
143	0.0017209324540332117	524	('1708',)
144	0.0017165778962458119	516	('1597',)
145	0.001674299282415042	183	('1219',)
146	0.001665556627838867	81	('90',)
147	0.0016608365815440195	412	('819',)
148	0.0016478368862197488	135	('2200',)
149	0.0016387366013032715	172	('1369',)
150	0.001630655398409143	533	('2249',)
151	0.0016073709876602833	525	('2756',)
152	0.0015993390535693442	231	('2771',)
153	0.0015885094505980967	83	('2491',)
154	0.0015859589035455072	7	('232',)
155	0.0015833872993773947	540	('4529',)
156	0.0015800904804667817	638	('2239',)
157	0.0015763763428008417	419	('4747',)
158	0.0015672342391801822	339	('5513',)
159	0.0015615744228453482	261	('889',)
160	0.0015610718559801945	508	('2539',)
161	0.001557344023652782	538	('681',)
162	0.0015474302983839194	488	('3099',)
163	0.0015410276944425707	470	('593',)
164	0.0015296485779201353	69	('3169',)
165	0.001524478524367317	430	('5263',)
166	0.0015236219120584292	2	('5015',)
167	0.001521338805508688	85	('167',)
168	0.0015164735393298097	420	('3144',)
169	0.0015133958964733938	186	('8079',)
170	0.001513190105769036	204	('2831',)
171	0.001504749362221079	526	('3365',)
172	0.0014925409066738607	320	('4188',)
173	0.0014778575743639544	54	('881',)
174	0.001471054656941423	35	('1952',)
175	0.0014660771259479544	180	('4700',)
176	0.0014631103383072168	361	('9581',)
177	0.0014530662506798049	68	('2346',)
178	0.0014348479700971974	545	('943',)
179	0.0014332080674219322	517	('207',)
180	0.001431280425114203	49	('603',)
181	0.001423940109750927	391	('3719',)
182	0.0014095829209365403	463	('818',)
183	0.0014059129042255558	250	('1532',)
184	0.0014043871648932627	572	('3880',)
185	0.0013971373508075782	846	('1142',)
186	0.0013941044350006973	331	('7593',)
187	0.0013881205517824113	140	('9826',)
188	0.001382613460654031	548	('5899',)
189	0.0013800282532607153	112	('4640',)
190	0.0013665563017695762	453	('1483',)
191	0.0013559914927153492	190	('1107',)
192	0.0013533759045848384	627	('1995',)
193	0.0013506909023973223	41	('5828',)
194	0.0013408335352754009	10	('2605',)
195	0.0013329244581077129	240	('689',)
196	0.0013327378031376333	215	('2266',)
197	0.0013304024200616821	326	('1276',)
198	0.0013103818174267769	546	('1988',)
199	0.0013054268299552147	904	('528',)
200	0.0012868958760186078	223	('4752',)
201	0.0012800933830964315	40	('5629',)
202	0.001278824687286568	845	('3218',)
203	0.0012747273305001436	684	('1254',)
204	0.001269782787939644	262	('6047',)
205	0.0012692626600743038	421	('5477',)
206	0.001265759015847051	564	('5676',)
207	0.0012606692053404563	573	('4444',)
208	0.0012557331563402422	709	('2884',)
209	0.0012435332074428997	751	('3624',)
210	0.0012411768437360926	334	('1452',)
211	0.0012371060786262413	332	('4858',)
212	0.001226221657841867	695	('2833',)
213	0.0012256076902440718	218	('5889',)
214	0.0012245771599733893	620	('5865',)
215	0.0012149730842086202	88	('3342',)
216	0.0012124073268938611	704	('2394',)
217	0.0012023017752696681	436	('4489',)
218	0.001194776108733826	230	('3106',)
219	0.0011902286772285582	76	('1782',)
220	0.0011761468861523437	477	('4452',)
221	0.0011735697581126442	137	('402',)
222	0.0011711749128491705	479	('1965',)
223	0.0011666587179110452	236	('3724',)
224	0.001163544563805219	414	('4851',)
225	0.0011607224309551577	820	('4826',)
226	0.0011606415417350266	27	('151',)
227	0.0011590094860053528	100	('1524',)
228	0.0011562341868637093	200	('2940',)
229	0.0011502623304489974	749	('3066',)
230	0.0011481812318007	165	('5490',)
231	0.001146066943939984	835	('70',)
232	0.0011454856639823345	205	('4500',)
233	0.0011441882810565905	337	('5581',)
234	0.0011427503508619848	141	('6464',)
235	0.0011366325557838806	475	('5040',)
236	0.0011342301769630022	207	('2085',)
237	0.001133278145275371	17	('5757',)
238	0.0011309313652534405	217	('1231',)
239	0.0011295460219105772	536	('4714',)
