K	PR	Item ID	Item
1	0.03682912981927948	32	('3164',)
2	0.034556906325372255	1	('1165',)
3	0.029470667529443384	39	('1182',)
4	0.026777645574483408	42	('5295',)
5	0.018255648203346526	53	('830',)
6	0.016762273922685533	8	('115',)
7	0.0163970993926191	30	('1504',)
8	0.014631380362635515	125	('2993',)
9	0.012934229071455534	276	('576',)
10	0.012200394884035728	15	('185',)
11	0.01123257472396342	437	('2842',)
12	0.011106007127096263	273	('1697',)
13	0.0110308048641196	22	('2549',)
14	0.010526184938863307	434	('5802',)
15	0.010063174920847155	31	('6512',)
16	0.00958202199671826	441	('3832',)
17	0.009277745915686506	77	('3458',)
18	0.009020761056093583	47	('3817',)
19	0.008365707740052686	21	('3272',)
20	0.008213330890243281	263	('2101',)
21	0.008158571333733084	94	('2151',)
22	0.007951428910336376	34	('2978',)
23	0.0075386825063889955	122	('2248',)
24	0.006925250517381083	16	('2445',)
25	0.006814789329412403	33	('3610',)
26	0.006675712867805832	121	('4837',)
27	0.00667034035854039	96	('5493',)
28	0.006561884533259205	63	('2815',)
29	0.006491735994518118	178	('2733',)
30	0.006183800163457449	46	('4604',)
31	0.006171079004930222	26	('8048',)
32	0.00611913852324857	86	('3725',)
33	0.0061163992304459555	111	('1828',)
34	0.005993350730847004	59	('4593',)
35	0.005717388905051145	120	('4572',)
36	0.005678651156260201	43	('6166',)
37	0.005632770332907297	254	('941',)
38	0.005558255350840094	48	('3590',)
39	0.005440572216147154	109	('5521',)
40	0.005426510272795598	243	('4326',)
41	0.005326586178587224	163	('3012',)
42	0.005271394905260099	71	('3456',)
43	0.004920230538397824	20	('4008',)
44	0.004890694895412569	203	('7559',)
45	0.004776164814338259	79	('3647',)
46	0.0047158292867302614	179	('298',)
47	0.004468988617426177	3	('670',)
48	0.004269819321654727	28	('3529',)
49	0.004212736304026751	91	('821',)
50	0.004188907158305695	189	('1509',)
51	0.004094156829079949	238	('4165',)
52	0.004089478449399514	354	('7598',)
53	0.004061907105967908	128	('2388',)
54	0.003984832478494626	9	('1903',)
55	0.0037765375218255324	446	('4410',)
56	0.003709129624057041	93	('1747',)
57	0.0036290802759241553	310	('5146',)
58	0.003626641609347832	11	('8805',)
