ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('10170',)	12 Mile Anch. (USA)	USA
('10171',)	9 Mile Anch. (USA)	USA
('3486',)	Aabenraa (DNK)	DNK
('5779',)	Aagotnes (NOR)	NOR
('4495',)	Aaheim (NOR)	NOR
('5121',)	Aakra (NOR)	NOR
('4551',)	Aakrehamn (NOR)	NOR
('2762',)	Aalborg (DNK)	DNK
('3713',)	Aalefjaer (NOR)	NOR
('3649',)	Aalesund (NOR)	NOR
('8864',)	Aalsmeer (NLD)	NLD
('8766',)	Aalst (NLD)	NLD
('4253',)	Aalvik (NOR)	NOR
('4427',)	Aandalsnes (NOR)	NOR
('7873',)	Aappilattoq (GRL)	GRL
('3707',)	Aardal (NOR)	NOR
('947',)	Aardalstangen (NOR)	NOR
('2823',)	Aarhus (DNK)	DNK
('3580',)	Aarosund (DNK)	DNK
('8112',)	Aasgard Field (NOR)	NOR
('102',)	Aasiaat (GRL)	GRL
('3745',)	Abadan (IRN)	IRN
('4509',)	Abashiri (JPN)	JPN
('8069',)	Abbenfleth (DEU)	DEU
('5487',)	Abbeville (FRA)	FRA
('153',)	Abbot Point (AUS)	AUS
('10143',)	Abbot Point Anch. (AUS)	AUS
('5667',)	Abelsnes (NOR)	NOR
('4271',)	Abelvaer (NOR)	NOR
('10289',)	Aber Wrac'h (FRA)	FRA
('1012',)	Aberdeen(GBR) (GBR)	GBR
('453',)	Aberdovey (GBR)	GBR
('1130',)	Aberlady Bay (GBR)	GBR
('6044',)	Aberystwyth (GBR)	GBR
('2992',)	Abidjan (CIV)	CIV
('10253',)	Abidjan Anch. (CIV)	CIV
('869',)	Abkatun Terminal (MEX)	MEX
('8745',)	Abo Terminal (NGA)	NGA
('10401',)	Aboadze Terminal (GHA)	GHA
('4762',)	Aboshi (JPN)	JPN
('3866',)	Abu al Bukhoosh Terminal (ARE)	ARE
('4402',)	Abu Dhabi (ARE)	ARE
('5122',)	Abu Fulus (IRQ)	IRQ
('6161',)	Abu Ghosoun (EGY)	EGY
('3684',)	Abu Kammash (LBY)	LBY
('6046',)	Abu Kir (EGY)	EGY
('4468',)	Abu Kir Bay (EGY)	EGY
('855',)	Abu Musa (IRN)	IRN
('354',)	Abu Rudeis (EGY)	EGY
('129',)	Abu Sultan (EGY)	EGY
('9792',)	Abu Terminal (MYS)	MYS
('4401',)	Abu Zenima (EGY)	EGY
('2261',)	Aburatsu (JPN)	JPN
('5956',)	Acajutla (SLV)	SLV
('8250',)	Acandi (COL)	COL
('487',)	Acapulco (MEX)	MEX
('9544',)	Acciaroli (ITA)	ITA
('357',)	Achipur (IND)	IND
('3265',)	Achladi (GRC)	GRC
('4682',)	Acton Grange (GBR)	GBR
('10385',)	Acu (BRA)	BRA
('2366',)	Adabiya (EGY)	EGY
('2034',)	Adak (USA)	USA
('10748',)	Adana (TUR)	TUR
('10508',)	Adang Bay Anch. (IDN)	IDN
('9633',)	Addis Ababa (ETH)	ETH
('3110',)	Adelaide (AUS)	AUS
('10266',)	Adelaide Anch. (AUS)	AUS
('1952',)	Aden (YEM)	YEM
('8988',)	Adhamas (GRC)	GRC
('6195',)	Admiralty Is. (PNG)	PNG
('7611',)	Adria (ITA)	ITA
('4365',)	Adriatic ()	
('5835',)	Advent Bay (SJM)	SJM
('3749',)	Aegean (GRC)	GRC
('5195',)	Aegina (GRC)	GRC
('4280',)	Aegion (GRC)	GRC
('4930',)	Aelvenaes (SWE)	SWE
('9496',)	Aeolian Is. (ITA)	ITA
('2530',)	Aeroskobing (DNK)	DNK
('9843',)	Afarnes (NOR)	NOR
('6497',)	Afia Terminal (NGA)	NGA
('3655',)	Afognak (USA)	USA
('5818',)	Africa ()	
('2050',)	Afua (BRA)	BRA
('3010',)	Agadir (MAR)	MAR
('9511',)	Agana (GUM)	GUM
('9910',)	Agbami Terminal (NGA)	NGA
('1459',)	Aggersund (DNK)	DNK
('5156',)	Aghios Konstantinos (GRC)	GRC
('6213',)	Agigea (ROM)	ROM
('3109',)	Agioi Theodoroi (GRC)	GRC
('1016',)	Agnefest (NOR)	NOR
('982',)	Agnesberg (SWE)	SWE
('5198',)	Agnevo (RUS)	RUS
('8689',)	Agropoli (ITA)	ITA
('1473',)	Aguadilla (PRI)	PRI
('1476',)	Aguadulce (PAN)	PAN
('2161',)	Aguilas (ESP)	ESP
('3535',)	Aguirre (PRI)	PRI
('1661',)	Ahus (SWE)	SWE
('3806',)	Ahvaz (IRN)	IRN
('4215',)	Ain Sukhna Terminal (EGY)	EGY
('2985',)	Ainoura (JPN)	JPN
('1972',)	Aioi (JPN)	JPN
('9973',)	Airlie Beach (AUS)	AUS
('6192',)	Airlie Island Terminal (AUS)	AUS
('3905',)	Aitutaki Is. (COK)	COK
('3084',)	Ajaccio (FRA)	FRA
('10735',)	Aje Field (NGA)	NGA
('8603',)	Ajim (TUN)	TUN
('3720',)	Ajisu (JPN)	JPN
('5014',)	Ajman (ARE)	ARE
('7715',)	Akashi (JPN)	JPN
('10082',)	Akassa (NIG)	NIG
('8623',)	Akcaabat (TUR)	TUR
('10397',)	Akcansa (TUR)	TUR
('4182',)	Akcay (TUR)	TUR
('9432',)	Aken (DEU)	DEU
('3896',)	Akhtubinsk (RUS)	RUS
('5345',)	Akita (JPN)	JPN
('2986',)	Akitsu (JPN)	JPN
('3397',)	Akkeshi (JPN)	JPN
('7806',)	Akko (ISR)	ISR
('6078',)	Akkrum (NLD)	NLD
('10007',)	Akpo Field (NGA)	NGA
('10650',)	Akpo Terminal (NGA)	NGA
('1671',)	Akranes (ISL)	ISL
('5628',)	Akrotiri (CYP)	CYP
('6511',)	Aktau (KAZ)	KAZ
('9812',)	Akunnaaq (GRL)	GRL
('2548',)	Akureyri (ISL)	ISL
('4539',)	Akutan (USA)	USA
('10184',)	Al Basra Anch. (IRQ)	IRQ
('5343',)	Al Basra Terminal (IRQ)	IRQ
('3656',)	Al Hoceima (MAR)	MAR
('9855',)	Al Jazeera (ARE)	ARE
('2898',)	Al Khobar (SAU)	SAU
('8836',)	Al Rayyan Terminal (QAT)	QAT
('7676',)	Al Shaheen Terminal (QAT)	QAT
('2356',)	Al Wajh (SAU)	SAU
('3701',)	Alabama (USA)	USA
('9524',)	Alachua (USA)	USA
('5064',)	Aladja (NGA)	NGA
('10628',)	Alaja (TKM)	TKM
('8190',)	Alameda (USA)	USA
('7856',)	Aland Islands (ALD)	ALD
('5821',)	Alang (IND)	IND
('10293',)	Alang Anch. (IND)	IND
('3821',)	Alanya (TUR)	TUR
('5868',)	Alaska (USA)	USA
('9925',)	Alassio (ITA)	ITA
('6500',)	Alba Field (GBR)	GBR
('6040',)	Albacora Field (BRA)	BRA
('4083',)	Albania (ALB)	ALB
('4368',)	Albany(AUS) (AUS)	AUS
('1146',)	Albany(USA) (USA)	USA
('9202',)	Albert Canal (BEL)	BEL
('3488',)	Alblasserdam (NLD)	NLD
('3513',)	Albufeira (PRT)	PRT
('8528',)	Alcanar (ESP)	ESP
('3703',)	Alcoy (PHL)	PHL
('4060',)	Alcudia (ESP)	ESP
('1580',)	Alderney (GBR)	GBR
('7615',)	Aleksandrovsk-Sakhalinskiy (RUS)	RUS
('4922',)	Alert Bay (CAN)	CAN
('4046',)	Aleutian Is. (USA)	USA
('10581',)	Alexandria Bay(USA) (USA)	USA
('3595',)	Alexandria(EGY) (EGY)	EGY
('10246',)	Alexandria(EGY) Anch. (EGY)	EGY
('8166',)	Alexandria(USA) (USA)	USA
('2258',)	Alexandroupolis (GRC)	GRC
('1730',)	Alexishafen (PNG)	PNG
('9709',)	Algarrobo (CHL)	CHL
('941',)	Algeciras (ESP)	ESP
('937',)	Algeciras Bay (ESP)	ESP
('5443',)	Algeria (DZA)	DZA
('4101',)	Alghero (ITA)	ITA
('732',)	Algiers (DZA)	DZA
('10248',)	Algiers Anch. (DZA)	DZA
('4287',)	Algoa Bay (ZAF)	ZAF
('10580',)	Algonac (USA)	USA
('5489',)	Aliaga (TUR)	TUR
('819',)	Alicante (ESP)	ESP
('9721',)	Alitak Bay (USA)	USA
('4919',)	Aliveri (GRC)	GRC
('1616',)	Alkmaar (NLD)	NLD
('2679',)	Allardyce Harbour (SLB)	SLB
('656',)	Alleppey (IND)	IND
('2360',)	Alliance (USA)	USA
('5078',)	Alligator Pond (JAM)	JAM
('7917',)	Allinge (DNK)	DNK
('5669',)	Alloa (GBR)	GBR
('4269',)	Alluitsup Paa (GRL)	GRL
('319',)	Allyns Point (USA)	USA
('10722',)	Alma/Galia Field (GBR)	GBR
('4591',)	Almelo (NLD)	NLD
('8597',)	Almere-Haven (NLD)	NLD
('5639',)	Almeria (ESP)	ESP
('1127',)	Almirante (PAN)	PAN
('3306',)	Almunecar (ESP)	ESP
('8972',)	Alnwick (GBR)	GBR
('6183',)	Alonisos (GRC)	GRC
('3530',)	Alotau (PNG)	PNG
('5110',)	Alpena (USA)	USA
('1644',)	Alphen aan den Rijn (NLD)	NLD
('5204',)	Alsen (USA)	USA
('2104',)	Alta (NOR)	NOR
('1219',)	Altamira (MEX)	MEX
('8348',)	Altata (MEX)	MEX
('3910',)	Alter do Chao (BRA)	BRA
('3495',)	Althorpe Wharf (GBR)	GBR
('10033',)	Altinova (TUR)	TUR
('6198',)	Altsi (GRC)	GRC
('5683',)	Alula (SOM)	SOM
('3356',)	Alumar (BRA)	BRA
('8170',)	Alvarado (MEX)	MEX
('9670',)	Alverca (PRT)	PRT
('9856',)	Alvheim Field (NOR)	NOR
('8709',)	Ama Anch. (USA)	USA
('752',)	Amagasaki (JPN)	JPN
('4282',)	Amahai (IDN)	IDN
('7717',)	Amakusa (JPN)	JPN
('1880',)	Amal (SWE)	SWE
('8896',)	Amalfi (ITA)	ITA
('8547',)	Amaliapolis (GRC)	GRC
('1001',)	Amamapare (IDN)	IDN
('4170',)	Amasra (TUR)	TUR
('2321',)	Amazon Bay (PNG)	PNG
('6414',)	Amazonas Field (BRA)	BRA
('3012',)	Ambarli (TUR)	TUR
('738',)	Ambelaki (GRC)	GRC
('735',)	Ambelaki Bay (GRC)	GRC
('6279',)	Ambes (FRA)	FRA
('5307',)	Ambon (IDN)	IDN
('2763',)	Ambriz (AGO)	AGO
('1551',)	Ambrizete (AGO)	AGO
('6482',)	Amchite (LBN)	LBN
('6339',)	Amderma (RUS)	RUS
('8471',)	Ameglia (ITA)	ITA
('5164',)	Ameide (NLD)	NLD
