Item	1stON PR	VON PR	Biased 1stON PR	Unbiased VON PR	Nrep-Rank	Visit-Rank
Hong Kong (HKG)	0.023174610599095376	0.03682912981927949	0.03832169965877194	0.019642190908670892	1	1
Singapore (SGP)	0.028662722508320564	0.03455690632537226	0.038965854478651196	0.021196408477995154	2	2
Shanghai (CHI)	0.017690901006992832	0.02947066752944339	0.029118150365511686	0.014975187638922182	3	3
Busan (KOR)	0.019313477765180876	0.026777645574483415	0.026623738094565752	0.0207488958437487	4	4
Rotterdam (NLD)	0.020107573951407175	0.01825564820334653	0.019980815125647984	0.01776094217592091	5	7
Port Klang (MYS)	0.01320405486450687	0.016762273922685537	0.0186957339886631	0.009695557460520119	6	6
Kaohsiung (TWN)	0.010822500698692308	0.016397099392619102	0.017811074003262404	0.008217259606088118	7	5
Hamburg (DEU)	0.014375850973924973	0.014631380362635518	0.014854175869717687	0.011991657097730422	8	10
Jebel Ali (ARE)	0.010637897936358574	0.012200394884035732	0.012626984196331953	0.009693495574536866	9	11
Antwerp (BEL)	0.012944661269435413	0.012934229071455538	0.013320614311457138	0.010702838470269743	10	12
Qingdao (CHN)	0.006624283215498678	0.011030804864119602	0.010860118441885124	0.005381470005734681	11	13
Bremerhaven (DEU)	0.011764589656575472	0.011106007127096265	0.01102645141011086	0.010484777062829095	12	19
Yantian (CHN)	0.005235730519935815	0.010063174920847157	0.009493535702429157	0.004031371608449936	13	16
Yokohama (JPN)	0.007644575001703449	0.011232574723963423	0.011676816113520033	0.005682814104745784	14	8
Valencia (ESP)	0.00855474655517932	0.009277745915686508	0.01000596030576429	0.007093690770044208	15	22
Ningbo (CHN)	0.0056722077046306016	0.009020761056093585	0.009257511989200173	0.004361663595320702	16	18
Tokyo (JPN)	0.006942370902157243	0.01052618493886331	0.011302080489079016	0.0046433407562023075	17	9
Nagoya (JPN)	0.0056517205178059	0.009582021996718261	0.009489752828207068	0.0041228701727465	18	14
Laem Chabang (THA)	0.005561408697548575	0.008365707740052688	0.009286890516644625	0.0030317203794748542	19	17
Kobe (JPN)	0.005415371553662012	0.008158571333733086	0.009406540690241818	0.003315729786625759	20	15
Colombo (LKA)	0.00679159794013788	0.007951428910336377	0.008295408427868292	0.005750725946923427	21	23
Barcelona (ESP)	0.006740116335793996	0.008213330890243283	0.008198142050841744	0.005675364481091959	22	29
Jakarta (IDN)	0.007561109593182524	0.006925250517381085	0.007578064074164582	0.008873977826443688	23	24
Gioia Tauro (ITA)	0.005810859506143527	0.006675712867805834	0.006580570344763033	0.0056622929237850885	24	40
Felixstowe (GBR)	0.007021217026428267	0.007538682506388997	0.0077001622376114635	0.0047241656774563235	25	28
Tanjung Pelepas (MYS)	0.003997630934065168	0.006171079004930224	0.005556081951250212	0.0029130686369965826	26	33
Xiamen (CHN)	0.0033969298220603416	0.006119138523248572	0.005226532408337348	0.00399748267480857	27	37
Algeciras (ESP)	0.0060470042052348134	0.005632770332907298	0.005865074831888823	0.0058625134655712905	28	46
Osaka (JPN)	0.00478098439414814	0.006670340358540392	0.008003844156194692	0.002665895725990418	29	21
Cartagena(COL) (COL)	0.006214829060820304	0.00649173599451812	0.006036048178844287	0.006002529255039244	30	38
Santos (BRA)	0.006567169267071332	0.006814789329412404	0.0071959917008327145	0.0050369789941900715	31	27
Keelung (TWN)	0.004807494732327113	0.005993350730847006	0.00798677568412051	0.0029379691575266635	32	20
Jeddah (SAU)	0.0055892390013726955	0.00618380016345745	0.006158392853512083	0.004237031137901729	33	34
Gwangyang (KOR)	0.004343040346706734	0.006561884533259206	0.006647767772665927	0.004428331186102212	34	26
Shekou (CHN)	0.002895563989074306	0.005558255350840095	0.0050446666609638225	0.0022494218347332193	35	39
Le Havre (FRA)	0.0066324124599197645	0.006116399230445957	0.00703479962710951	0.0045705517985025375	36	30
Izmir (TUR)	0.004166708767150269	0.0054265102727955985	0.0051173404687816304	0.003334827259421422	37	58
Jawaharlal Nehru (IND)	0.004697602176836314	0.005678651156260202	0.005950664870438112	0.002947776414044142	38	35
Genoa (ITA)	0.004499541660003037	0.005440572216147155	0.005446924124173042	0.0034957899799604258	39	49
New York (USA)	0.005914216137786108	0.0057173889050511455	0.006472346411617251	0.0035346702273700925	40	31
Ambarli (TUR)	0.004658633396477818	0.005326586178587225	0.005093970285072147	0.004373019489916494	41	56
Durban (ZAF)	0.005327811191946048	0.004920230538397825	0.004868966707810414	0.004316918155346533	42	48
Kingston(JAM) (JAM)	0.0041400712886637174	0.004715829286730262	0.004079394239803211	0.004028287368379754	43	59
Marsaxlokk (MLT)	0.0045586149468267775	0.0052713949052601	0.004836693186383098	0.0039175079770537085	44	54
Surabaya (IDN)	0.006848704145075002	0.004468988617426178	0.005041669623090568	0.010214562736859898	45	36
Mersin (TUR)	0.0030363807144882593	0.0040941568290799495	0.004227979249331184	0.0026824601783887484	46	65
Ho Chi Minh City (VNM)	0.003507164357201817	0.004269819321654728	0.005285439692349538	0.003307322698078447	47	32
