Item	Nrep-Rank	Visit-Rank
('10',)	6	4
('11',)	2	1
('16',)	8	3
('18',)	1	2
('7',)	12	13
('3',)	16	17
('14',)	10	8
('13',)	4	5
('19',)	3	7
('17',)	9	9
('24',)	7	11
('12',)	5	6
('9',)	15	10
('29',)	39	35
('15',)	11	12
('22',)	14	14
('20',)	17	16
('27',)	20	21
('8',)	13	15
('21',)	21	20
('30',)	30	27
('26',)	18	18
('25',)	23	24
('32',)	32	28
('23',)	22	19
('5',)	24	22
('1',)	27	26
('2',)	25	25
('6',)	19	23
('4',)	26	31
('35',)	28	29
('31',)	35	37
('39',)	37	34
('28',)	41	40
('41',)	36	36
('36',)	29	32
('38',)	38	39
('33',)	33	30
('37',)	31	33
('34',)	34	38
('40',)	40	41
