Item	1stON PR	VON PR	Biased 1stON PR	Unbiased VON PR	Nrep-Rank	Visit-Rank
Polícia de Segurança Pública - 7ª Esquadra	0.051836646346188196	0.07706818488952097	0.0951934015033556	0.04739267708676672	1	2
11	0.05393330413007132	0.08215677231069138	0.09813657905422718	0.05202710766634617	2	1
19	0.04328415275149985	0.07087038471057515	0.06818999546099817	0.05352657919411464	3	7
Policia PSP 13ª	0.037762253699707704	0.05533504114668377	0.07017505228635183	0.03392203072532159	4	5
18ª Esquadra da Polícia de Segurança Pública	0.05300649308808466	0.0715567039119194	0.09046481395782431	0.05036833312225411	5	6
Polícia de Segurança Pública (b)	0.037267487549905914	0.06262472100631807	0.0636006222399603	0.0408277182200952	6	4
Polícia de Segurança Pública (d)	0.02274896781118582	0.04749214163184983	0.037579326665973835	0.03420264723394088	7	11
Polícia: Comando Metr. Porto	0.038747393032506613	0.057449100446642476	0.06545291081235532	0.036142898373765525	8	3
17	0.0222075119642246	0.042544903951695606	0.035663814833331836	0.028742921142974297	9	9
PSP Sra da Hora	0.040833827290806465	0.06767600553482546	0.06477706971749216	0.05047113891873898	10	8
PSP Maia	0.025286210757309996	0.0452764746641247	0.03406900167433277	0.03709696463627655	11	12
PSP Gaia	0.017094915005398184	0.03022514405496074	0.020068225835887687	0.024305227024848917	12	13
Esquadra Oliveira do Douro	0.01398852569586126	0.02273166437778974	0.01367740904987243	0.020246127098676747	13	15
22	0.01814818187529842	0.023033955442159828	0.01995433478341029	0.01856851074096039	14	14
PSP - 15ª Esquadra (Foz)	0.020973177849394873	0.03714745249460393	0.03235635417510321	0.024861636730121338	15	10
3	0.01456408855827973	0.020047304527140757	0.012485716297096322	0.02227070629947286	16	17
20	0.014110203928962423	0.021477490415435563	0.014019099134533105	0.018004965534378626	17	16
26	0.012384514983642271	0.018827451057873253	0.011350405953075087	0.022905134824372387	18	18
GNR (b)	0.01669140565451925	0.010986815520381284	0.008825480488698561	0.016954256402548003	19	23
Guarda Nacional Republicana de Alfena	0.01664427788654715	0.012359474382884405	0.010137051106518165	0.023410211814142653	20	21
Polícia de Segurança Pública (c)	0.012168642537180457	0.012578341953804941	0.008182059932960787	0.014600391137401705	21	20
Guarda Nacional Republicana	0.014753456912857628	0.012776980387890526	0.009641695436848459	0.016091950652593393	22	19
PSP	0.017958102825401376	0.008674062140389474	0.008799615848944427	0.01743713444270692	23	24
GNR (a)	0.010992109994709023	0.008191223724846375	0.006130203750457377	0.012068550194302377	24	22
Posto GNR	0.012157305054934491	0.006730974452394058	0.0058816175367493295	0.010921808994879231	25	25
GNR CANEDO	0.021708584889652015	0.006836249545838888	0.008656776128896515	0.016647501013162248	26	31
Policia de Segurança Pública (a)	0.02736509832656745	0.007476357791254613	0.011401158092479952	0.020114471468552643	27	26
Polícia	0.03438100876243032	0.005482618879606852	0.007992251323721273	0.02316731723141079	28	29
Quartel da GNR - GIPS	0.03944390753672059	0.00567339364172471	0.01137333515704922	0.022868349749414648	29	32
GNR- Posto da Guarda Nacional Republicana de Vila do Conde	0.011160646222385958	0.007408578491108442	0.0031292177942784534	0.014094649311499582	30	27
GNR - GIPS	0.01753716827834578	0.0044259686223803996	0.006016267106474153	0.012547725669972788	31	33
GNR da Trofa	0.018351712122680764	0.005274581636285831	0.0051892798039748595	0.01774968436161036	32	28
Polícia Municipal	0.02349586766615303	0.004275747292693879	0.0058438492433137545	0.0170284018146004	33	30
PSP (b)	0.01544084970030923	0.0025564826363542663	0.003311591939250634	0.013027083485473484	34	38
Polícia Municipal da Trofa	0.011187682420743757	0.0036377231230065726	0.0024570959327024256	0.013468465796037393	35	37
GNR (d)	0.030738834068485467	0.0037897376535162247	0.006395492008495693	0.021252265573643608	36	36
39	0.03697159582509474	0.004607348170055372	0.009721615682934325	0.025184605930898975	37	34
GNR - Posto Territorial de Lordelo	0.008778545724895226	0.002772864299665323	0.002360803984435077	0.00952841239166743	38	39
GNR (c)	0.028336386859434893	0.0055430754262002745	0.005144538169895554	0.020789952678241172	39	35
Esquadra	0.01733476305971847	0.0022669931995769606	0.0034186134700711574	0.015009375941499908	40	41
PSP (a)	0.018224191351904936	0.002133510453329811	0.0027762566256683465	0.010154109370314496	41	40
