			1stON PR			VON PR			Biased 1stON PR			Unbiased VON PR	
Rank	Item Name	Rep-Rank	Visit-Rank	Item Name	Rep-Rank	Visit-Rank	Item Name	Rep-Rank	Visit-Ranks	Item Name	Rep-Rank	Visit-Ranks
1	ATL (GA)	1	1	ATL (GA)	1	1	ATL (GA)	1	1	DEN (CO)	5	3
2	DEN (CO)	5	3	ORD (IL)	2	2	ORD (IL)	2	2	ATL (GA)	1	1
3	ORD (IL)	2	2	DFW (TX)	4	4	DEN (CO)	5	3	ORD (IL)	2	2
4	DFW (TX)	4	4	DEN (CO)	5	3	DFW (TX)	4	4	DFW (TX)	4	4
5	CLT (NC)	3	5	CLT (NC)	3	5	CLT (NC)	3	5	MSP (MN)	8	8
6	MSP (MN)	8	8	DTW (MI)	6	9	PHX (AZ)	9	6	CLT (NC)	3	5
7	PHX (AZ)	9	6	MSP (MN)	8	8	LAX (CA)	11	7	SEA (WA)	17	13
8	LAX (CA)	11	7	IAH (TX)	7	10	IAH (TX)	7	10	DTW (MI)	6	9
9	IAH (TX)	7	10	PHX (AZ)	9	6	DTW (MI)	6	9	IAH (TX)	7	10
10	DTW (MI)	6	9	LAX (CA)	11	7	MSP (MN)	8	8	PHX (AZ)	9	6
